gtin14,reason,source_sha256,product_name
00079621003783,piece_rate,001fc75aa32535d17c93b91a2ea9003eb396cbf8cfd7ddaad3b339295e8f4fe0,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Bulk, 10-14 Slices per Pound"
00079621003790,piece_rate,391197624b7705e72bf611079e11a38fbf703f40becb8821c53bd33ccb6af422,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Bulk, 18-22 Slices per Pound"
00079621003806,piece_rate,489ae2139147480aea5c19386cb3841c684145999d2e82cfc36bc425141d7f42,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 14-18 Slices per Pound"
00079621003813,piece_rate,b0655b981096bc1994f6d7ee816a771d503e76ea993821907fa24a88e4fa3e08,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 6 Slices/Inch"
00079621003820,piece_rate,4a2b69ff8641a33a7cd96a3b02219dc857c2bfa317e60b7fb01bab1ae9c9f37d,"Wright Brand Naturally Smoked Thin Sliced Bacon, Bulk, 18-22 Slices per Pound"
00079621003837,piece_rate,6521198902e7be3211e422721045fc76b26956032890f37e773e72b78275c0bb,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 14-18 Slices per Pound"
00079621003899,piece_rate,3272d3704185ad3cc5e62efa0829490594381cda938826c8b4f806e2ceba9373,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Bulk, 9 Slices/Inch"
00079621003905,piece_rate,af84303cf0ce2eecf7c4e8386d35f1e4f860342edb3e4cf80947a9cdc743da84,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 6 Slices/Inch"
00079621003912,piece_rate,242d20bd7f5d2b1847aaa170f277081f85b32767d036d217690fb92aa64e3ea0,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Bulk, 5 Slices/Inch"
00079621003929,piece_rate,489ae2139147480aea5c19386cb3841c684145999d2e82cfc36bc425141d7f42,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 14-18 Slices per Pound"
00079621003936,piece_rate,6d9141ee4b030f886946ab64df7d543703b75788b725715e16f5f74f3ebe8e50,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 10-14 Slices per Pound"
00079621003943,piece_rate,e2ef9eacb2aadb1160e62036d52f8989b15ad18be1dccd40975c764a7397db86,"Wright Brand Naturally Hickory Smoked Extra Thick Sliced Bacon, Bulk, 8-10 Slices per Pound"
00079621003950,piece_rate,f349ed3bb3966a0946015990ac63e8fe6333c40536837a5c7d7daa32e083fcb8,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Bulk, 18-22 Slices Per Pound"
00079621003967,piece_rate,7647a5d5197b25bc2a608551285eca8525f6327ce14a619f44df5a97f5003595,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 14-18 Slices per Pound, Gas Flushed"
00079621003974,piece_rate,fd34651a8ecc0f0b0e2df604497703a0f66585bdd18af6b07a3faa6b14122cc6,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Bulk, 18-22 Slices per Pound, Gas Flushed"
00079621004018,piece_rate,8f480f654d2e7f02a1f67f260642f416ed0d638faf9ac274b09ac40d0e1bed5b,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Bulk, 18-22 Slices per Pound"
00079621004025,piece_rate,6521198902e7be3211e422721045fc76b26956032890f37e773e72b78275c0bb,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 14-18 Slices per Pound"
00079621004032,piece_rate,3715905ec723ef2a3f60b6cac4ccd5875e3b570cd668da738c6c332916134d13,"Wright Brand Naturally Applewood Smoked Thick Sliced Bacon, Bulk, 10-14 Slices per Pound, Gas Flushed"
